contig_name	length	gc
contig00001	73217	64.3
contig00002	7516	64.25
contig00003	9422	65.29
contig00004	5532	63.61
contig00005	33926	65.68
contig00006	33446	63.66
contig00007	114457	65.72
contig00008	8930	65.4
contig00009	16981	63.95
contig00010	3906	56.48
contig00011	4589	66.22
contig00012	5459	64.7
contig00013	4435	60.16
contig00014	30359	62.57
contig00015	2753	63.06
contig00016	20619	65.39
contig00017	12062	62.48
contig00018	21949	54.71
contig00019	119719	64.72
contig00020	6438	58.96
contig00021	34826	67.09
contig00022	4646	65.56
contig00023	5720	63.16
contig00024	3184	64.01
contig00025	1583	56.92
contig00026	26860	63.55
contig00027	9261	65.9
contig00028	7054	63.11
contig00029	4930	67.02
contig00030	10084	64.82
contig00031	15941	65.57
contig00032	19757	63.78
contig00033	16903	66.14
contig00034	163896	64.9
contig00035	6895	64.21
contig00036	8680	67.79
contig00037	16163	65.44
contig00038	4684	56.66
contig00039	24619	66.11
contig00040	2430	55.02
contig00041	141951	65.18
contig00042	5682	56.99
contig00043	30451	63.08
contig00044	1621	56.76
contig00045	21625	62.17
contig00046	6764	62.11
contig00047	3804	64.51
contig00048	5366	65.19
contig00049	10206	57.46
contig00050	1976	58.65
contig00051	58365	66.23
contig00052	49215	65.45
contig00053	7353	66.37
contig00054	10194	68.18
contig00055	2788	65.14
contig00056	2403	64.96
contig00057	86118	64.77
contig00058	32382	64.21
contig00059	89576	64.57
contig00060	2420	66.45
contig00061	5054	63.3
contig00062	25968	65.03
contig00063	13022	61.1
contig00064	16229	65.43
contig00065	6387	62.3
contig00066	1202	66.06
contig00067	40091	63.4
contig00068	21746	65.72
contig00069	2917	66.37
contig00070	39616	62.45
contig00071	10576	66.39
contig00072	4580	63.45
contig00073	103336	64.37
contig00074	10965	65.96
contig00075	11544	65.08
contig00076	11199	67.07
contig00077	5398	64.75
contig00078	7670	54.54
contig00079	7017	56.38
contig00080	5367	63.28
contig00081	6157	58.65
contig00082	47586	66.88
contig00083	106494	64.72
contig00084	11328	63.6
contig00085	7305	60.6
contig00086	11018	64.22
contig00087	19565	65.35
contig00088	25939	65.65
contig00089	2661	60.8
contig00090	21289	64.62
contig00091	13491	65.84
contig00092	6103	66.16
contig00093	14688	64.79
contig00094	41534	65.59
contig00095	18724	57.66
contig00096	70876	66.37
contig00097	10825	65.51
contig00098	29057	65.73
contig00099	6181	62.09
contig00100	7180	66.03
contig00101	27455	64.41
contig00102	21843	63.35
contig00103	108068	61.76
contig00104	59484	64.14
contig00105	9407	64.69
contig00106	17389	66.39
contig00107	33955	63.58
contig00108	39712	66.05
contig00109	4990	65.55
contig00110	8899	66.05
contig00111	4228	66.65
contig00112	3039	64.99
contig00113	56578	63.34
contig00114	12035	63.47
contig00115	15634	64.38
contig00116	5037	63.87
contig00117	49429	60.59
contig00118	11318	65.52
contig00119	74326	65.4
contig00120	24743	66.4
contig00121	2654	65.34
contig00122	71187	65.09
contig00123	9246	64.74
contig00124	25413	64.6
contig00125	104208	65.11
contig00126	13775	65.99
contig00127	23576	65.61
contig00128	70676	65.86
contig00129	1529	59.12
contig00130	39254	65.07
contig00131	25265	64.73
contig00132	42425	65.06
contig00133	3831	64.66
contig00134	42538	64.25
contig00135	9405	62.18
contig00136	4272	57.96
contig00137	17796	65.54
contig00138	5302	63.73
contig00139	13201	59.94
contig00140	5796	64.92
contig00141	17906	65.11
contig00142	6419	63.16
contig00143	3806	67.1
contig00144	7746	66.2
contig00145	16070	57.14
contig00146	27450	65.45
contig00147	12030	64.43
contig00148	22111	65.94
contig00149	41833	65.31
contig00150	13459	64.08
contig00151	5383	65.32
contig00152	33537	65.6
contig00153	13997	65.36
contig00154	18849	66.62
contig00155	14446	69.02
contig00156	42357	58.22
contig00157	29130	64.75
contig00158	29265	65.9
contig00159	31134	64.36
contig00160	15446	65.21
contig00161	112370	65.0
contig00162	3176	67.6
contig00163	4374	60.01
contig00164	72432	65.59
contig00165	16394	61.67
contig00166	7260	64.59
contig00167	35781	64.8
contig00168	113996	65.51
contig00169	16251	64.06
contig00170	7333	68.69
contig00171	16821	56.33
contig00172	43371	67.5
contig00173	11186	64.33
contig00174	47522	65.11
contig00175	34072	66.49
contig00176	106627	62.89
contig00177	2405	65.03
contig00178	28377	62.89
contig00179	22937	64.01
contig00180	4414	67.78
contig00181	9550	63.65
contig00182	2702	63.03
contig00183	7320	63.43
contig00184	13546	62.44
contig00185	4386	62.93
contig00186	4021	57.27
contig00187	10605	65.61
contig00188	44345	65.19
contig00189	16294	62.42
contig00190	11966	65.41
contig00191	29375	65.73
contig00192	2820	63.72
contig00193	38147	63.94
contig00194	35567	62.6
contig00195	12219	63.27
contig00196	5481	60.68
contig00197	16512	65.69
contig00198	2906	57.74
contig00199	4143	66.79
contig00200	2127	63.23
