contig_name	length	gc
contig00001	32081	60.06
contig00002	4429	66.99
contig00003	164521	64.98
contig00004	191077	64.8
contig00005	224969	64.54
contig00006	241762	65.41
contig00007	9109	64.09
contig00008	86728	62.26
contig00009	22988	64.26
contig00010	10784	62.18
contig00011	221339	64.35
contig00012	21897	65.23
contig00013	86143	65.06
contig00014	15551	59.38
contig00015	23627	64.6
contig00016	4042	62.99
contig00017	18573	64.52
contig00018	96002	61.63
contig00019	5642	57.53
contig00020	55217	64.41
contig00021	4424	67.34
contig00022	7591	58.57
contig00023	104436	65.97
contig00024	14190	65.08
contig00025	57280	65.38
contig00026	72521	64.93
contig00027	106857	62.59
contig00028	249737	64.25
contig00029	68950	61.17
contig00030	180322	63.86
contig00031	76652	64.67
contig00032	2274	65.74
contig00033	2239	67.26
contig00034	498993	65.14
contig00035	37717	64.12
contig00036	31404	66.41
contig00037	43307	61.44
contig00038	6910	66.35
contig00039	48171	64.99
contig00040	643727	65.4
contig00041	176378	64.46
contig00042	574683	64.26
contig00043	11377	65.57
contig00044	9711	65.47
contig00045	165678	65.12
contig00046	5602	66.19
contig00047	237525	64.75
contig00048	10974	66.67
contig00049	47315	64.09
contig00050	218497	64.58
contig00051	40233	65.77
contig00052	163550	65.05
contig00053	1042	66.79
