All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    NCPPB_2494.unfiltered.unicycler_assembly  NCPPB_2494.unicycler_assembly  NCPPB_2997.unfiltered.unicycler_assembly  NCPPB_2997.unicycler_assembly  NCPPB_2998.unfiltered.unicycler_assembly  NCPPB_2998.unicycler_assembly  NCPPB_3204.unfiltered.unicycler_assembly  NCPPB_3204.unicycler_assembly
# contigs (>= 0 bp)         31                                        98                             40                                        30                             66                                        65                             18                                        21                           
# contigs (>= 1000 bp)      31                                        42                             16                                        12                             33                                        33                             6                                         7                            
# contigs (>= 5000 bp)      24                                        29                             9                                         7                              23                                        19                             3                                         4                            
# contigs (>= 10000 bp)     23                                        21                             8                                         6                              19                                        16                             3                                         3                            
# contigs (>= 25000 bp)     20                                        18                             8                                         6                              17                                        14                             3                                         3                            
# contigs (>= 50000 bp)     16                                        15                             6                                         6                              13                                        12                             3                                         3                            
Total length (>= 0 bp)      4990408                                   4996209                        4993962                                   5002258                        5006811                                   5009445                        5021459                                   5009146                      
Total length (>= 1000 bp)   4990408                                   4976222                        4986493                                   4996822                        4995921                                   4998924                        5018499                                   5004833                      
Total length (>= 5000 bp)   4977270                                   4953164                        4966910                                   4985236                        4973304                                   4967792                        5014028                                   4999908                      
Total length (>= 10000 bp)  4969399                                   4889628                        4960044                                   4978370                        4944900                                   4944728                        5014028                                   4992998                      
Total length (>= 25000 bp)  4908576                                   4854437                        4960044                                   4978370                        4917927                                   4917431                        5014028                                   4992998                      
Total length (>= 50000 bp)  4764718                                   4737823                        4880106                                   4978370                        4768397                                   4834517                        5014028                                   4992998                      
# contigs                   31                                        58                             20                                        14                             39                                        39                             6                                         9                            
Largest contig              872382                                    935456                         1695905                                   1934930                        753251                                    1426199                        4843334                                   4822304                      
Total length                4990408                                   4987722                        4989278                                   4998521                        5000283                                   5003993                        5018499                                   5006114                      
GC (%)                      64.95                                     64.95                          64.96                                     64.96                          64.93                                     64.93                          64.94                                     64.95                        
N50                         416260                                    483892                         1618325                                   1622708                        638193                                    638184                         4843334                                   4822304                      
N75                         216618                                    363732                         869285                                    869285                         339805                                    350356                         4843334                                   4822304                      
L50                         5                                         4                              2                                         2                              4                                         3                              1                                         1                            
L75                         9                                         7                              3                                         3                              7                                         6                              1                                         1                            
# N's per 100 kbp           0.00                                      0.00                           0.00                                      0.00                           0.00                                      0.00                           0.00                                      0.00                         
