NCPPB_1059,12037_1059_PBK60708_pass_dtrim.fastq.gz,450000,12037_1059_S62_R1_001_fastp_val_1.fq.gz,12037_1059_S62_R2_001_fastp_val_2.fq.gz
NCPPB_4367,12037_4367_PBK60708_pass_dtrim.fastq.gz,450000,12037_4367_S35_R1_001_fastp_val_1.fq.gz,12037_4367_S35_R2_001_fastp_val_2.fq.gz
NCPPB_4594,12037_4594_PBK60708_pass_dtrim.fastq.gz,450000,12037_4594_S61_R1_001_fastp_val_1.fq.gz,12037_4594_S61_R2_001_fastp_val_2.fq.gz
NCPPB_1337,12037_1337_PBK60708_pass_dtrim.fastq.gz,450000,12037_1337_S70_R1_001_fastp_val_1.fq.gz,12037_1337_S70_R2_001_fastp_val_2.fq.gz
NCPPB_4630,12037_4630_PBK60708_pass_dtrim.fastq.gz,450000,12037_4630_S38_R1_001_fastp_val_1.fq.gz,12037_4630_S38_R2_001_fastp_val_2.fq.gz
NCPPB_151,12037_151_PBK60708_pass_dtrim.fastq.gz,450000,12037_151_S48_R1_001_fastp_val_1.fq.gz,12037_151_S48_R2_001_fastp_val_2.fq.gz
NCPPB_4632,12037_4632_PBK60708_pass_dtrim.fastq.gz,450000,12037_4632_S39_R1_001_fastp_val_1.fq.gz,12037_4632_S39_R2_001_fastp_val_2.fq.gz
NCPPB_1594,12037_1594_PBK60708_pass_dtrim.fastq.gz,450000,12037_1594_S71_R1_001_fastp_val_1.fq.gz,12037_1594_S71_R2_001_fastp_val_2.fq.gz
NCPPB_4633,12037_4633_PBK60708_pass_dtrim.fastq.gz,450000,12037_4633_S40_R1_001_fastp_val_1.fq.gz,12037_4633_S40_R2_001_fastp_val_2.fq.gz
NCPPB_1932,12037_1932_PBK60708_pass_dtrim.fastq.gz,450000,12037_1932_S64_R1_001_fastp_val_1.fq.gz,12037_1932_S64_R2_001_fastp_val_2.fq.gz
NCPPB_4678,12037_4678_PBK60708_pass_dtrim.fastq.gz,450000,12037_4678_S52_R1_001_fastp_val_1.fq.gz,12037_4678_S52_R2_001_fastp_val_2.fq.gz
NCPPB_1933,12037_1933_PBK60708_pass_dtrim.fastq.gz,450000,12037_1933_S65_R1_001_fastp_val_1.fq.gz,12037_1933_S65_R2_001_fastp_val_2.fq.gz
NCPPB_4679,12037_4679_PBK60708_pass_dtrim.fastq.gz,450000,12037_4679_S53_R1_001_fastp_val_1.fq.gz,12037_4679_S53_R2_001_fastp_val_2.fq.gz
NCPPB_4680,12037_4680_PBK60708_pass_dtrim.fastq.gz,450000,12037_4680_S54_R1_001_fastp_val_1.fq.gz,12037_4680_S54_R2_001_fastp_val_2.fq.gz
NCPPB_2190,12037_2190_PBK60708_pass_dtrim.fastq.gz,450000,12037_2190_S74_R1_001_fastp_val_1.fq.gz,12037_2190_S74_R2_001_fastp_val_2.fq.gz
NCPPB_4681,12037_4681_PBK60708_pass_dtrim.fastq.gz,450000,12037_4681_S55_R1_001_fastp_val_1.fq.gz,12037_4681_S55_R2_001_fastp_val_2.fq.gz
NCPPB_4682,12037_4682_PBK60708_pass_dtrim.fastq.gz,450000,12037_4682_S56_R1_001_fastp_val_1.fq.gz,12037_4682_S56_R2_001_fastp_val_2.fq.gz
NCPPB_2439,12037_2439_PBK60708_pass_dtrim.fastq.gz,450000,12037_2439_S75_R1_001_fastp_val_1.fq.gz,12037_2439_S75_R2_001_fastp_val_2.fq.gz
NCPPB_4013,12037_4013_PBK60708_pass_dtrim.fastq.gz,450000,12037_4013_S73_R1_001_fastp_val_1.fq.gz,12037_4013_S73_R2_001_fastp_val_2.fq.gz
NCPPB_557,12037_557_PBK60708_pass_dtrim.fastq.gz,450000,12037_557_S58_R1_001_fastp_val_1.fq.gz,12037_557_S58_R2_001_fastp_val_2.fq.gz
NCPPB_4350,12037_4350_PBK60708_pass_dtrim.fastq.gz,450000,12037_4350_S47_R1_001_fastp_val_1.fq.gz,12037_4350_S47_R2_001_fastp_val_2.fq.gz
NCPPB_881,12037_881_PBK60708_pass_dtrim.fastq.gz,450000,12037_881_S51_R1_001_fastp_val_1.fq.gz,12037_881_S51_R2_001_fastp_val_2.fq.gz
