contig_name	length	gc
contig00001	12918	57.52
contig00002	4254	65.84
contig00003	61547	65.0
contig00004	50541	64.75
contig00005	224370	64.4
contig00006	71921	64.47
contig00007	199106	65.1
contig00008	21090	63.84
contig00009	444727	65.52
contig00010	13428	66.81
contig00011	200288	65.24
contig00012	42542	61.69
contig00013	26767	62.11
contig00014	13352	60.83
contig00015	31085	65.24
contig00016	2245	60.45
contig00017	11968	64.23
contig00018	30307	67.28
contig00019	80402	65.09
contig00020	16212	64.89
contig00021	43950	60.3
contig00022	493158	64.54
contig00023	12773	64.32
contig00024	1200248	65.42
contig00025	1105182	65.26
contig00026	529103	64.62
contig00027	15465	62.37
contig00028	32708	60.57
contig00029	82566	65.66
