contig_name	length	gc
contig00001	22374	65.76
contig00002	135327	65.01
contig00003	24644	67.72
contig00004	66584	65.02
contig00005	256087	64.94
contig00006	140175	65.14
contig00007	41561	65.35
contig00008	49854	65.53
contig00009	50094	60.12
contig00010	14356	65.35
contig00011	78403	66.19
contig00012	44814	65.58
contig00013	63853	62.69
contig00014	6502	68.75
contig00015	189565	65.49
contig00016	6038	64.39
contig00017	32987	64.6
contig00018	8778	60.33
contig00019	89070	65.33
contig00020	87083	65.04
contig00021	21524	63.49
contig00022	37641	65.42
contig00023	5280	65.55
contig00024	21198	64.55
contig00025	83315	64.82
contig00026	39645	64.87
contig00027	162357	65.05
contig00028	25997	65.16
contig00029	19399	65.03
contig00030	13185	64.64
contig00031	96646	60.68
contig00032	91897	65.72
contig00033	138527	65.06
contig00034	9043	64.14
contig00035	185115	64.95
contig00036	21605	64.11
contig00037	254775	65.27
contig00038	114257	65.06
contig00039	444350	65.43
contig00040	246671	65.22
contig00041	34086	68.51
contig00042	9871	62.72
contig00043	7603	63.9
contig00044	30955	64.34
contig00045	38255	66.09
contig00046	157905	63.89
contig00047	82246	63.84
contig00048	202785	64.8
contig00049	70097	66.27
contig00050	105321	65.97
contig00051	36954	66.88
contig00052	22652	64.36
contig00053	13240	59.3
contig00054	11443	69.06
contig00055	21283	65.51
contig00056	70889	61.75
