Sample	Complete	Total_assembly_length	Number_of_contigs	Most_accurate_polishing_round	Longest_contig_length	Longest_contig_coverage	Number_circular_plasmids
NCPPB_3583	True	5203949	2	pypolca	5001413	83	1
NCPPB_3441	True	5160658	2	pypolca	5042721	86	1
NCPPB_3442	True	5133266	2	pypolca	5015329	78	1
NCPPB_2586	True	5066224	2	pypolca	5035738	88	1
NCPPB_4037	True	5180132	1	pypolca	5180132	86	0
NCPPB_1638	True	4726231	2	pypolca	4712109	93	1
NCPPB_1325	True	4910357	1	pypolca	4910357	88	0
NCPPB_1826	True	5047295	1	pypolca	5047295	88	0
NCPPB_4467	True	5300556	1	pypolca	5300556	84	0
NCPPB_2865	True	4879452	2	pypolca	4856532	94	1
NCPPB_2250	True	5202716	1	pypolca	5202716	85	0
NCPPB_3443	True	5140327	2	pypolca	5087395	88	1
NCPPB_1560	True	5317931	2	pypolca	5294619	83	0
NCPPB_1068	True	4864051	1	pypolca	4864051	90	0
NCPPB_2933	True	5411570	1	pypolca	5411570	80	0
NCPPB_1754	True	5097805	2	pypolca	5059270	87	1
NCPPB_3761	True	5135729	3	pypolca	5043209	88	2
NCPPB_3570	True	4905835	1	pypolca	4905835	62	0
NCPPB_1062	True	4917796	1	pypolca	4917796	82	0
NCPPB_2866	True	4879495	2	pypolca	4856575	92	1
NCPPB_901	True	4936333	1	pypolca	4936333	89	0
NCPPB_3582	True	5154665	2	pypolca	5152241	79	0
NCPPB_2654	True	5238494	1	pypolca	5238494	85	0
NCPPB_4468	True	5300556	1	pypolca	5300556	83	0
NCPPB_3218	True	5044027	1	pypolca	5044027	88	0
NCPPB_4466	True	5249842	1	pypolca	5249842	84	0
NCPPB_3174	True	4949313	1	pypolca	4949313	89	0
NCPPB_3569	True	5138314	2	pypolca	5094381	87	1
NCPPB_2632	True	4859276	1	pypolca	4859276	76	0
