contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	3012967	66.37	True
plasmid00001	plasmid	1039595	66.34	False
plasmid00002	plasmid	440137	65.82	False
plasmid00003	plasmid	68355	61.56	True
plasmid00004	plasmid	9597	59.63	False
plasmid00005	plasmid	2326	58.47	False
plasmid00006	plasmid	2280	60.53	False
plasmid00007	plasmid	2192	61.04	False
plasmid00008	plasmid	2051	56.56	False
plasmid00009	plasmid	1604	61.85	False
plasmid00010	plasmid	1348	59.2	False
plasmid00011	plasmid	1328	59.79	False
plasmid00012	plasmid	1234	58.51	False
plasmid00013	plasmid	1150	58.61	False
plasmid00014	plasmid	1132	61.57	False
plasmid00015	plasmid	901	62.26	False
plasmid00016	plasmid	785	59.36	False
plasmid00017	plasmid	693	57.72	False
plasmid00018	plasmid	550	58.36	False
plasmid00019	plasmid	511	59.88	False
plasmid00020	plasmid	509	57.56	False
plasmid00021	plasmid	402	59.95	False
plasmid00022	plasmid	395	61.77	False
plasmid00023	plasmid	380	62.11	False
plasmid00024	plasmid	372	66.94	False
plasmid00025	plasmid	345	59.71	False
plasmid00026	plasmid	275	50.18	False
plasmid00027	plasmid	265	61.89	False
plasmid00028	plasmid	227	64.32	False
plasmid00029	plasmid	222	60.36	False
plasmid00030	plasmid	207	57.0	False
plasmid00031	plasmid	195	60.51	False
plasmid00032	plasmid	186	61.29	False
plasmid00033	plasmid	161	62.11	False
