contig_name	length	gc
contig00001	14206	61.71
contig00002	2509	67.24
contig00003	2466	62.04
contig00004	5566	60.71
contig00005	6794	67.21
contig00006	9108	60.92
contig00007	1655	55.29
contig00008	4384	53.1
contig00009	2751	47.55
contig00010	10316	67.89
contig00011	8765	67.07
contig00012	2876	54.97
contig00013	3572	65.31
contig00014	3813	62.65
contig00015	3398	60.33
contig00016	3797	64.37
contig00017	7994	60.5
contig00018	8333	66.27
contig00019	15624	66.73
contig00020	6321	62.17
contig00021	5615	64.36
contig00022	15054	64.75
contig00023	12838	66.9
contig00024	1474	57.6
contig00025	3420	41.49
contig00026	18930	64.67
contig00027	12742	67.34
contig00028	5576	65.62
contig00029	4594	58.12
contig00030	10221	63.92
contig00031	7189	62.55
contig00032	4414	53.44
contig00033	2185	60.92
contig00034	74962	64.25
contig00035	5035	59.46
contig00036	8229	66.28
contig00037	9211	65.82
contig00038	3334	65.0
contig00039	7095	64.59
contig00040	1999	51.23
contig00041	2265	60.18
contig00042	4633	59.57
contig00043	4434	63.31
contig00044	1996	62.37
contig00045	4151	67.31
contig00046	2480	63.63
contig00047	6677	66.03
contig00048	2270	41.94
contig00049	14906	64.72
contig00050	2375	67.2
contig00051	6404	65.38
contig00052	3131	66.75
contig00053	3647	63.56
contig00054	6886	61.41
contig00055	26877	65.37
contig00056	2736	50.51
contig00057	17704	63.61
contig00058	3108	60.46
contig00059	5409	63.63
contig00060	37357	64.78
contig00061	10415	66.23
contig00062	14709	65.81
contig00063	7415	63.78
contig00064	3320	65.54
contig00065	2705	59.33
contig00066	2538	61.74
contig00067	6984	65.79
contig00068	5669	64.35
contig00069	4291	51.99
contig00070	3904	60.73
contig00071	13470	65.32
contig00072	9503	66.56
contig00073	3932	61.09
contig00074	2877	67.12
contig00075	3533	61.87
contig00076	5383	62.03
contig00077	7711	66.02
contig00078	29214	65.55
contig00079	24792	65.34
contig00080	35759	63.46
contig00081	5602	66.33
contig00082	9502	64.95
contig00083	2238	69.62
contig00084	10726	64.02
contig00085	6118	64.76
contig00086	7218	57.05
contig00087	10702	55.58
contig00088	2297	56.29
contig00089	2581	66.64
contig00090	1425	59.72
contig00091	48148	64.42
contig00092	12797	65.27
contig00093	11064	65.61
contig00094	5103	61.92
contig00095	2985	64.86
contig00096	936	58.87
contig00097	2415	64.97
contig00098	2669	61.15
contig00099	5841	63.96
contig00100	14016	64.39
contig00101	2467	64.29
contig00102	7942	61.08
contig00103	2465	53.23
contig00104	36726	65.92
contig00105	3190	67.77
contig00106	11941	65.86
contig00107	7587	61.3
contig00108	4088	68.84
contig00109	2000	63.5
contig00110	8785	64.92
contig00111	3558	64.53
contig00112	28281	65.89
contig00113	4899	60.48
contig00114	5130	59.69
contig00115	5558	65.06
contig00116	8568	66.95
contig00117	11672	63.87
contig00118	3722	55.27
contig00119	8901	63.48
contig00120	19176	64.97
contig00121	6981	60.71
contig00122	14568	65.86
contig00123	28185	65.6
contig00124	12236	64.72
contig00125	13115	69.77
contig00126	2009	49.93
contig00127	9927	65.73
contig00128	12891	64.82
contig00129	9632	62.76
contig00130	3012	66.1
contig00131	3453	65.54
contig00132	12366	58.26
contig00133	8073	63.46
contig00134	72309	64.37
contig00135	3315	66.33
contig00136	12239	65.13
contig00137	5505	64.67
contig00138	3207	63.49
contig00139	7888	61.28
contig00140	2776	58.83
contig00141	13663	66.51
contig00142	6412	64.85
contig00143	5154	64.16
contig00144	9670	62.97
contig00145	8810	66.14
contig00146	2312	44.25
contig00147	2347	65.57
contig00148	5975	63.13
contig00149	26565	65.39
contig00150	9487	64.17
contig00151	44073	64.41
contig00152	2406	62.59
contig00153	21742	61.6
contig00154	4601	65.49
contig00155	5017	57.58
contig00156	6250	63.66
contig00157	2845	68.47
contig00158	2907	48.78
contig00159	13365	64.83
contig00160	2452	50.16
contig00161	7867	64.89
contig00162	4728	56.9
contig00163	1173	58.82
contig00164	1360	60.07
contig00165	40162	65.59
contig00166	3118	61.83
contig00167	5484	59.3
contig00168	8848	66.25
contig00169	3076	55.14
contig00170	3070	60.68
contig00171	2957	58.81
contig00172	4044	61.1
contig00173	2738	47.44
contig00174	3411	63.24
contig00175	2465	48.19
contig00176	7252	64.26
contig00177	2755	67.15
contig00178	11114	66.97
contig00179	6008	57.01
contig00180	14465	65.98
contig00181	1641	63.13
contig00182	4538	46.87
contig00183	9600	58.07
contig00184	2500	62.36
contig00185	10854	55.15
contig00186	4243	62.03
contig00187	6772	66.46
contig00188	2892	48.2
contig00189	7322	57.2
contig00190	22716	60.13
contig00191	6414	66.5
contig00192	2429	66.74
contig00193	46447	64.91
contig00194	17568	67.79
contig00195	4673	66.3
contig00196	3020	61.56
contig00197	2610	67.66
contig00198	4237	66.75
contig00199	20685	65.72
contig00200	6416	64.6
contig00201	9149	66.84
contig00202	3215	61.34
contig00203	20672	66.03
contig00204	15081	61.54
contig00205	3095	59.48
contig00206	6486	68.16
contig00207	4195	64.17
contig00208	6625	58.79
contig00209	4458	62.49
contig00210	2463	60.41
contig00211	2314	59.9
contig00212	13791	66.45
contig00213	1624	64.16
contig00214	7776	64.36
contig00215	2606	54.34
contig00216	5929	56.84
contig00217	4928	63.9
contig00218	2343	60.44
contig00219	9103	64.4
contig00220	9169	63.7
contig00221	2772	59.88
contig00222	34923	64.24
contig00223	5955	63.9
contig00224	11871	66.34
contig00225	2684	61.66
contig00226	3933	69.74
contig00227	1911	59.6
contig00228	4403	62.25
contig00229	4513	62.04
contig00230	25837	63.4
contig00231	30674	64.88
contig00232	3247	65.78
contig00233	7236	64.7
contig00234	5273	57.96
contig00235	33971	65.54
contig00236	1782	64.87
contig00237	8578	62.93
contig00238	10566	67.52
contig00239	9347	68.63
contig00240	2517	63.57
contig00241	5992	62.45
contig00242	2822	64.17
contig00243	14963	63.46
contig00244	23432	62.35
contig00245	2847	58.48
contig00246	4832	58.24
contig00247	3113	54.58
contig00248	4768	64.91
contig00249	5131	65.62
contig00250	3406	61.24
contig00251	4126	54.22
contig00252	56233	66.59
contig00253	20458	64.91
contig00254	4343	62.45
contig00255	2848	62.85
contig00256	4153	66.0
contig00257	4505	55.25
contig00258	7842	64.4
contig00259	3406	59.6
contig00260	4043	63.22
contig00261	5620	67.42
contig00262	3766	66.12
contig00263	13819	65.32
contig00264	19972	64.46
contig00265	3003	47.15
contig00266	2816	67.12
contig00267	2857	66.19
contig00268	7455	58.11
contig00269	2843	67.29
contig00270	4256	65.18
contig00271	4571	47.8
contig00272	8846	63.61
contig00273	56261	65.25
contig00274	9989	66.41
contig00275	7185	60.82
contig00276	2896	64.09
contig00277	13931	66.0
contig00278	2739	56.88
contig00279	2637	63.18
contig00280	8757	54.17
contig00281	8531	66.01
contig00282	1341	52.72
