contig_name	length	gc
contig00001	7620	61.94
contig00002	824	51.7
contig00003	4205	60.62
contig00004	5808	47.69
contig00005	6853	64.19
contig00006	8419	66.08
contig00007	4318	59.84
contig00008	43974	65.68
contig00009	8943	66.53
contig00010	49906	66.28
contig00011	2254	63.27
contig00012	14041	65.28
contig00013	11068	65.19
contig00014	4225	65.94
contig00015	28678	61.37
contig00016	24695	65.28
contig00017	16519	63.85
contig00018	2840	66.51
contig00019	2849	59.18
contig00020	14399	63.71
contig00021	34474	66.95
contig00022	3650	52.96
contig00023	5947	66.17
contig00024	8659	67.89
contig00025	8245	61.77
contig00026	21378	66.37
contig00027	9283	63.58
contig00028	50761	65.46
contig00029	3455	49.55
contig00030	16403	65.41
contig00031	10996	64.21
contig00032	14181	56.75
contig00033	8365	61.59
contig00034	29317	65.83
contig00035	27162	63.61
contig00036	15773	63.18
contig00037	56821	64.2
contig00038	18557	65.89
contig00039	23637	65.02
contig00040	24894	66.1
contig00041	11747	67.46
contig00042	17866	65.44
contig00043	8789	58.48
contig00044	17991	64.92
contig00045	7390	64.51
contig00046	35989	60.53
contig00047	19160	66.5
contig00048	36035	66.32
contig00049	10968	67.74
contig00050	65815	65.1
contig00051	5647	64.78
contig00052	9929	66.22
contig00053	11952	57.62
contig00054	11922	63.42
contig00055	5218	54.94
