contig_name	contig_type	length	gc	circular
chromosome00001	chromosome	5287910	64.45	True
plasmid00001	plasmid	146528	59.52	False
plasmid00002	plasmid	59135	61.63	True
plasmid00003	plasmid	52592	59.08	False
plasmid00004	plasmid	1406	59.39	False
plasmid00005	plasmid	1195	58.33	False
plasmid00006	plasmid	1059	57.03	False
plasmid00007	plasmid	959	54.01	False
plasmid00008	plasmid	944	64.3	False
plasmid00009	plasmid	938	49.68	False
plasmid00010	plasmid	929	63.29	False
plasmid00011	plasmid	794	67.51	False
plasmid00012	plasmid	787	58.32	False
plasmid00013	plasmid	734	52.04	False
plasmid00014	plasmid	658	65.81	False
plasmid00015	plasmid	510	63.33	False
plasmid00016	plasmid	486	64.61	False
plasmid00017	plasmid	382	51.05	False
plasmid00018	plasmid	360	58.89	False
plasmid00019	plasmid	332	61.14	False
plasmid00020	plasmid	248	59.68	False
plasmid00021	plasmid	201	50.25	False
plasmid00022	plasmid	172	58.72	False
