contig_name	length	gc
contig00001	3403	60.06
contig00002	72070	63.06
contig00003	222303	64.94
contig00004	2621	64.94
contig00005	2086	58.49
contig00006	325715	64.89
contig00007	7717	63.78
contig00008	166853	63.34
contig00009	1451	60.03
contig00010	20776	62.25
contig00011	2470	60.53
contig00012	1095	59.18
contig00013	151982	64.32
contig00014	527	58.06
contig00015	6434	68.6
contig00016	11599	62.84
contig00017	75741	65.26
contig00018	5139	61.06
contig00019	10376	68.8
contig00020	522	59.58
contig00021	4547	61.38
contig00022	357431	64.77
contig00023	52662	63.66
contig00024	587	56.22
contig00025	24505	61.59
contig00026	24971	66.12
contig00027	3604	57.55
contig00028	1652	62.89
contig00029	2250	60.62
contig00030	108084	64.27
contig00031	7509	59.3
contig00032	1938	64.45
contig00033	1040	68.37
contig00034	557	61.76
contig00035	1308	59.63
contig00036	1768	53.34
contig00037	5991	60.71
contig00038	4232	58.15
contig00039	1714	59.68
contig00040	614	60.42
contig00041	320584	65.12
contig00042	156078	64.61
contig00043	29407	63.21
contig00044	609	56.65
contig00045	1071	62.65
contig00046	16866	60.79
contig00047	2065	60.05
contig00048	199739	65.05
contig00049	720	58.89
contig00050	1888	66.58
contig00051	3969	61.02
contig00052	1027	61.54
contig00053	11028	60.1
contig00054	1396278	64.76
contig00055	2039	60.23
contig00056	639	54.93
contig00057	3432	57.26
contig00058	2771	58.93
contig00059	17796	64.45
contig00060	4549	62.43
contig00061	19228	66.68
contig00062	106380	64.86
contig00063	10475	62.99
contig00064	2138	61.04
contig00065	2004	60.83
contig00066	2478	58.8
contig00067	35398	64.18
contig00068	3086	56.55
contig00069	42056	64.42
contig00070	2612	61.45
contig00071	3462	58.95
contig00072	1062	65.35
contig00073	244627	64.81
contig00074	1989	51.58
contig00075	226743	65.25
contig00076	95778	64.99
contig00077	3186	58.41
contig00078	6647	62.09
contig00079	2422	61.15
contig00080	5146	55.38
contig00081	124481	64.45
contig00082	13058	61.73
contig00083	502	69.12
contig00084	1904	60.71
contig00085	577	60.83
contig00086	63352	65.05
contig00087	4441	56.11
contig00088	23182	56.54
contig00089	729	65.43
contig00090	2966	68.75
contig00091	5183	61.89
contig00092	84342	64.98
contig00093	249289	64.91
contig00094	71750	66.8
contig00095	609	56.32
contig00096	3773	61.49
contig00097	29427	63.72
contig00098	2958	59.53
contig00099	2578	63.85
contig00100	866	62.59
contig00101	3262	55.67
contig00102	2341	57.37
contig00103	598	55.02
contig00104	2507	63.58
contig00105	966	50.93
contig00106	891	58.59
